행정구역(시군구)별(1),행정구역(시군구)별(2),2020. 07,2020. 08,2020. 09,2020. 10
전국,소계,"22,842,044","22,898,959","22,952,513","22,991,110"
서울특별시,소계,"4,391,545","4,400,154","4,405,833","4,408,498"
,종로구,"74,605","74,700","74,861","74,835"
,중구,"63,397","63,540","63,594","63,640"
,용산구,"111,800","112,059","112,451","112,699"
,성동구,"136,030","136,094","136,096","135,978"
,광진구,"166,520","166,703","166,857","166,944"
,동대문구,"166,662","166,933","167,232","167,301"
,중랑구,"183,607","184,597","185,109","185,356"
,성북구,"195,178","195,325","195,379","195,415"
,강북구,"145,630","145,706","145,790","145,753"
,도봉구,"138,999","139,015","139,029","139,015"
,노원구,"217,918","217,940","218,002","217,981"
,은평구,"211,862","212,632","213,039","213,305"
,서대문구,"143,487","144,024","144,494","144,546"
,마포구,"177,770","178,114","178,495","178,483"
,양천구,"179,959","180,185","180,309","180,410"
,강서구,"265,762","266,197","266,366","266,606"
,구로구,"178,821","179,392","179,792","180,012"
,금천구,"112,734","113,347","113,887","114,183"
,영등포구,"180,574","181,469","182,087","182,917"
,동작구,"183,870","184,030","184,193","184,119"
,관악구,"274,381","275,016","275,248","274,869"
,서초구,"174,012","173,827","173,483","173,283"
,강남구,"233,673","234,024","234,021","234,588"
,송파구,"280,769","281,361","281,417","281,252"
,강동구,"193,525","193,924","194,602","195,008"
부산광역시,소계,"1,517,200","1,520,321","1,523,122","1,524,888"
,중구,"23,544","23,626","23,682","23,723"
,서구,"53,340","53,342","53,359","53,576"
,동구,"45,954","45,994","45,985","45,994"
,영도구,"54,914","54,870","54,896","54,876"
,부산진구,"169,952","170,624","171,008","171,637"
,동래구,"114,414","114,527","114,679","114,739"
,남구,"117,537","117,649","117,696","117,685"
,북구,"120,706","120,652","120,703","120,604"
,해운대구,"170,255","170,290","170,518","170,815"
,사하구,"139,163","139,139","139,047","138,879"
,금정구,"107,273","107,323","107,383","107,345"
,강서구,"55,314","55,958","56,828","57,341"
,연제구,"91,608","92,154","92,418","92,475"
,수영구,"83,207","83,579","83,906","83,941"
,사상구,"97,215","97,274","97,357","97,343"
,기장군,"72,804","73,320","73,657","73,915"
대구광역시,소계,"1,048,735","1,050,852","1,052,646","1,053,168"
,중구,"39,052","39,154","39,202","39,131"
,동구,"154,701","155,175","155,403","155,385"
,서구,"83,326","83,412","83,355","83,310"
,남구,"76,102","76,250","76,249","76,178"
,북구,"184,593","185,222","186,144","186,612"
,수성구,"169,826","170,106","170,239","170,400"
,달서구,"235,148","235,153","235,384","235,189"
,달성군,"105,987","106,380","106,670","106,963"
인천광역시,소계,"1,253,957","1,256,383","1,259,167","1,261,590"
,중구,"67,572","67,749","67,883","68,014"
,동구,"28,694","28,694","28,726","28,702"
,미추홀구,"186,624","186,683","186,815","186,771"
,연수구,"145,196","146,942","148,531","150,030"
,남동구,"224,230","224,411","224,685","224,979"
,부평구,"211,037","210,917","210,914","210,950"
,계양구,"123,581","123,546","123,654","123,830"
,서구,"221,525","221,848","222,244","222,526"
,강화군,"33,618","33,693","33,796","33,814"
,옹진군,"11,880","11,900","11,919","11,974"
,인천광역시 중구영종출장소,-,-,-,0
,인천광역시 중구용유출장소,-,-,-,0
,인천광역시 서구검단출장소,-,-,-,0
광주광역시,소계,"627,676","629,054","630,695","631,269"
,동구,"48,984","49,112","50,009","50,521"
,서구,"130,663","130,844","130,964","131,060"
,남구,"92,699","92,806","92,889","92,986"
,북구,"190,694","191,117","191,307","191,174"
,광산구,"164,636","165,175","165,526","165,528"
대전광역시,소계,"646,211","647,818","649,552","650,636"
,동구,"104,672","104,884","105,031","105,037"
,중구,"107,403","107,517","107,659","107,657"
,서구,"208,139","208,748","209,239","209,391"
,유성구,"149,798","150,379","150,816","151,076"
,대덕구,"76,199","76,290","76,807","77,475"
울산광역시,소계,"473,640","474,328","474,970","475,424"
,중구,"93,054","93,093","93,138","93,207"
,남구,"137,182","137,316","137,426","137,453"
,동구,"65,478","65,581","65,671","65,700"
,북구,"82,725","82,917","83,130","83,335"
,울주군,"95,201","95,421","95,605","95,729"
세종특별자치시,소계,"138,720","139,552","140,222","141,687"
,세종시,"138,720","139,552","140,222","141,687"
경기도,소계,"5,584,110","5,605,611","5,626,369","5,641,978"
,수원시,"503,913","504,528","505,292","505,484"
,장안구,"115,250","115,282","115,694","115,686"
,권선구,"154,116","154,373","154,460","154,526"
,팔달구,"85,419","85,582","85,714","85,794"
,영통구,"149,128","149,291","149,424","149,478"
,성남시,"403,840","405,554","406,802","407,242"
,수정구,"112,125","114,069","115,400","115,743"
,중원구,"100,587","100,507","100,540","100,560"
,분당구,"191,128","190,978","190,862","190,939"
,의정부시,"195,887","197,062","198,362","199,398"
,안양시,"220,980","220,799","220,604","220,508"
,만안구,"101,106","101,168","101,243","101,260"
,동안구,"119,874","119,631","119,361","119,248"
,부천시,"342,938","343,181","343,627","343,993"
,광명시,"125,021","124,242","123,278","122,067"
,평택시,"235,352","236,876","238,404","240,008"
,동두천시,"43,315","43,398","43,451","43,498"
,안산시,"282,436","283,043","283,537","284,087"
,상록구,"150,519","150,768","150,999","151,165"
,단원구,"131,917","132,275","132,538","132,922"
,고양시,"443,049","443,670","444,420","445,663"
,덕양구,"200,456","200,765","201,232","202,201"
,일산동구,"125,113","125,270","125,438","125,589"
,일산서구,"117,480","117,635","117,750","117,873"
,과천시,"22,766","22,830","22,864","22,915"
,구리시,"80,840","80,972","81,249","81,383"
,남양주시,"281,325","281,998","282,645","283,718"
,오산시,"97,673","98,150","98,610","98,897"
,시흥시,"201,498","204,039","206,249","207,689"
,군포시,"111,918","112,054","112,114","112,242"
,의왕시,"63,085","63,110","64,152","64,462"
,하남시,"123,194","124,208","125,491","126,569"
,용인시,"416,896","417,777","418,471","418,896"
,처인구,"110,040","110,394","110,693","110,905"
,기흥구,"168,657","168,917","169,157","169,309"
,수지구,"138,199","138,466","138,621","138,682"
,파주시,"194,725","196,157","197,536","198,536"
,이천시,"96,643","97,350","97,440","97,598"
,안성시,"83,780","84,257","84,772","85,138"
,김포시,"182,608","185,741","188,308","189,990"
,화성시,"340,771","343,103","345,685","347,748"
,광주시,"161,473","162,235","162,979","163,408"
,양주시,"96,334","96,907","97,235","97,666"
,포천시,"70,793","70,950","71,061","71,168"
,여주시,"51,081","51,172","51,270","51,363"
,연천군,"21,823","21,848","21,905","21,949"
,가평군,"31,336","31,380","31,396","31,388"
,양평군,"56,817","57,020","57,160","57,307"
,경기도 송탄출장소,-,-,-,0
,경기도 안중출장소,-,-,-,0
,경기도 풍양출장소,-,-,-,0
,경기도 화성시동부출장소,-,-,-,0
,경기도 화성시동탄출장소,-,-,-,0
강원도,소계,"728,771","730,504","732,005","733,436"
,춘천시,"124,937","125,313","125,637","125,978"
,원주시,"158,227","158,559","159,026","159,397"
,강릉시,"100,321","100,566","100,802","100,992"
,동해시,"41,821","41,965","42,042","42,161"
,태백시,"21,634","21,639","21,656","21,644"
,속초시,"39,396","39,534","39,621","39,725"
,삼척시,"33,638","33,750","33,779","33,776"
,홍천군,"33,956","34,004","34,032","34,036"
,횡성군,"23,035","23,088","23,152","23,192"
,영월군,"21,240","21,252","21,215","21,242"
,평창군,"21,427","21,467","21,495","21,545"
,정선군,"20,144","20,182","20,197","20,227"
,철원군,"21,114","21,101","21,097","21,115"
,화천군,"12,671","12,726","12,779","12,859"
,양구군,"10,671","10,723","10,726","10,722"
,인제군,"15,710","15,758","15,790","15,799"
,고성군,"14,475","14,499","14,507","14,528"
,양양군,"14,354","14,378","14,452","14,498"
충청북도,소계,"734,112","736,095","738,094","739,808"
,청주시,"369,542","370,694","371,933","372,888"
,상당구,"77,927","78,419","79,118","80,100"
,서원구,"87,301","87,397","87,473","87,336"
,흥덕구,"118,522","118,888","119,192","119,217"
,청원구,"85,792","85,990","86,150","86,235"
,충주시,"96,946","97,280","97,540","97,660"
,제천시,"63,623","63,703","63,782","63,847"
,보은군,"16,819","16,850","16,895","16,911"
,옥천군,"24,285","24,338","24,354","24,378"
,영동군,"24,345","24,393","24,376","24,390"
,증평군,"17,558","17,579","17,630","17,639"
,진천군,"38,226","38,379","38,692","39,103"
,괴산군,"20,664","20,720","20,767","20,862"
,음성군,"46,848","46,896","46,830","46,809"
,단양군,"15,256","15,263","15,295","15,321"
충청남도,소계,"973,444","975,474","977,399","978,784"
,천안시,"288,374","289,095","289,954","290,408"
,동남구,"115,065","115,254","115,426","115,496"
,서북구,"173,309","173,841","174,528","174,912"
,공주시,"50,688","50,828","50,871","50,908"
,보령시,"49,020","49,098","49,133","49,209"
,아산시,"136,987","137,507","137,893","138,216"
,서산시,"78,265","78,448","78,627","78,734"
,논산시,"57,645","57,655","57,730","57,726"
,계룡시,"16,184","16,233","16,294","16,359"
,당진시,"76,807","76,936","77,030","77,206"
,금산군,"25,753","25,794","25,835","25,834"
,부여군,"33,519","33,527","33,521","33,522"
,서천군,"26,683","26,711","26,712","26,708"
,청양군,"16,168","16,151","16,150","16,220"
,홍성군,"46,264","46,322","46,327","46,363"
,예산군,"38,765","38,790","38,846","38,872"
,태안군,"32,322","32,379","32,476","32,499"
전라북도,소계,"827,895","829,789","831,694","833,069"
,전주시,"279,740","280,768","281,730","282,455"
,완산구,"146,929","147,559","148,096","148,315"
,덕진구,"132,811","133,209","133,634","134,140"
,효자출장소,-,-,-,0
,군산시,"119,708","119,972","120,338","120,585"
,익산시,"127,577","127,784","127,974","128,099"
,정읍시,"54,075","54,124","54,150","54,176"
,남원시,"39,125","39,215","39,245","39,301"
,김제시,"42,299","42,325","42,344","42,354"
,완주군,"42,647","42,756","42,916","42,926"
,진안군,"13,306","13,333","13,360","13,372"
,무주군,"12,548","12,565","12,603","12,632"
,장수군,"11,439","11,451","11,468","11,495"
,임실군,"14,771","14,789","14,805","14,819"
,순창군,"13,971","13,992","14,018","14,050"
,고창군,"29,007","28,995","29,000","29,019"
,부안군,"27,682","27,720","27,743","27,786"
,전라북도 익산시함열출장소,-,-,-,0
전라남도,소계,"884,043","885,676","887,358","888,724"
,목포시,"103,511","103,403","103,217","103,270"
,여수시,"125,650","125,849","126,135","126,414"
,순천시,"119,642","120,230","120,658","121,032"
,나주시,"56,876","56,977","57,177","57,431"
,광양시,"65,252","65,177","65,198","65,124"
,담양군,"23,924","23,969","23,998","24,014"
,곡성군,"15,325","15,366","15,383","15,360"
,구례군,"13,255","13,276","13,291","13,295"
,고흥군,"35,117","35,161","35,168","35,206"
,보성군,"22,574","22,594","22,607","22,613"
,화순군,"30,819","30,884","30,966","30,993"
,장흥군,"20,347","20,354","20,344","20,352"
,강진군,"18,551","18,565","18,583","18,580"
,해남군,"35,168","35,188","35,201","35,237"
,영암군,"27,680","27,677","27,731","27,751"
,무안군,"37,806","38,451","39,095","39,411"
,함평군,"17,944","17,944","17,965","17,988"
,영광군,"27,009","27,023","27,053","27,062"
,장성군,"23,193","23,143","23,161","23,139"
,완도군,"26,111","26,121","26,139","26,181"
,진도군,"16,362","16,401","16,390","16,413"
,신안군,"21,927","21,923","21,898","21,858"
경상북도,소계,"1,242,701","1,244,551","1,246,952","1,249,009"
,포항시,"223,896","224,375","224,857","225,027"
,남구,"105,418","105,586","105,750","105,778"
,북구,"118,478","118,789","119,107","119,249"
,경주시,"120,174","120,405","120,643","120,802"
,김천시,"66,311","66,446","66,638","66,727"
,안동시,"76,021","76,279","76,435","76,549"
,구미시,"178,025","178,272","178,712","179,140"
,영주시,"49,526","49,567","49,628","49,678"
,영천시,"52,019","52,141","52,330","52,495"
,상주시,"48,661","48,726","48,755","48,787"
,문경시,"35,958","35,965","36,031","36,116"
,경산시,"117,654","117,861","118,160","118,507"
,군위군,"13,034","13,054","13,062","13,078"
,의성군,"28,519","28,574","28,645","28,681"
,청송군,"14,035","14,035","14,036","14,049"
,영양군,"9,036","9,027","9,046","9,066"
,영덕군,"20,098","20,100","20,125","20,119"
,청도군,"22,699","22,739","22,762","22,786"
,고령군,"16,397","16,375","16,363","16,421"
,성주군,"23,162","23,172","23,202","23,223"
,칠곡군,"52,799","52,759","52,791","52,926"
,예천군,"27,075","27,039","27,071","27,108"
,봉화군,"16,892","16,894","16,889","16,895"
,울진군,"25,376","25,414","25,442","25,468"
,울릉군,"5,334","5,332","5,329","5,361"
경상남도,소계,"1,470,937","1,473,746","1,476,628","1,478,602"
,창원시,"437,824","438,558","439,449","440,054"
,의창구,"110,703","110,999","111,205","111,359"
,성산구,"85,788","85,852","85,907","85,955"
,마산합포구,"78,897","79,151","79,334","79,387"
,마산회원구,"81,522","81,538","81,841","82,054"
,진해구,"80,914","81,018","81,162","81,299"
,진주시,"151,874","152,389","152,989","153,340"
,통영시,"59,694","59,738","59,774","59,811"
,사천시,"53,023","53,199","53,326","53,364"
,김해시,"220,905","221,379","221,892","222,224"
,밀양시,"52,272","52,358","52,440","52,505"
,거제시,"103,315","103,454","103,569","103,592"
,양산시,"147,795","148,148","148,510","148,728"
,의령군,"14,765","14,792","14,810","14,870"
,함안군,"30,964","31,008","31,016","31,009"
,창녕군,"31,908","31,980","32,028","32,124"
,고성군,"26,123","26,140","26,137","26,142"
,남해군,"22,601","22,629","22,603","22,603"
,하동군,"23,743","23,740","23,768","23,782"
,산청군,"19,315","19,377","19,375","19,401"
,함양군,"20,614","20,652","20,652","20,703"
,거창군,"29,921","29,933","30,021","30,064"
,합천군,"24,281","24,272","24,269","24,286"
,경상남도 사천남양출장소,-,-,-,0
,경상남도 장유출장소,-,-,-,0
,경상남도 양산시웅상출장소,-,-,-,0
제주특별자치도,소계,"298,347","299,051","299,807","300,540"
,제주시,"213,706","214,215","214,750","215,301"
,서귀포시,"84,641","84,836","85,057","85,239"
